epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,6147.59,0.70047,0.44603,1.10278,0.95185,0.92674,0.96156,0.79044,0.74611,0.37151,1.20075,9.87737e-05,9.87737e-05,9.87737e-05
75,6229.83,0.69636,0.43827,1.09973,0.95209,0.92973,0.96199,0.79018,0.74899,0.37415,1.20597,9.23789e-05,9.23789e-05,9.23789e-05
76,6311.17,0.69337,0.43937,1.10339,0.96097,0.92484,0.96319,0.7943,0.74089,0.37062,1.20274,8.61701e-05,8.61701e-05,8.61701e-05
77,6393.15,0.69075,0.43624,1.1016,0.96216,0.92053,0.96169,0.79243,0.73593,0.36725,1.19975,8.01533e-05,8.01533e-05,8.01533e-05
78,6474.75,0.69014,0.43643,1.10538,0.95389,0.93129,0.96264,0.79325,0.73939,0.36813,1.20546,7.43344e-05,7.43344e-05,7.43344e-05
79,6556.61,0.68318,0.429,1.09388,0.95492,0.93182,0.96385,0.79377,0.73551,0.36264,1.20847,6.87193e-05,6.87193e-05,6.87193e-05
80,6638.31,0.67163,0.42576,1.09155,0.95634,0.92827,0.96205,0.79608,0.72894,0.36325,1.20609,6.33135e-05,6.33135e-05,6.33135e-05
81,6726.79,0.54976,0.28247,1.00106,0.94808,0.92905,0.96049,0.78706,0.75706,0.37274,1.22066,5.81223e-05,5.81223e-05,5.81223e-05
82,6807.38,0.51143,0.26241,0.97981,0.94942,0.9323,0.96159,0.79126,0.74346,0.36666,1.21589,5.31509e-05,5.31509e-05,5.31509e-05
83,6887.8,0.50098,0.26107,0.97297,0.95459,0.92852,0.96175,0.79576,0.73141,0.36107,1.20952,4.84041e-05,4.84041e-05,4.84041e-05
84,6968.26,0.49376,0.25621,0.96541,0.95828,0.93065,0.96259,0.79643,0.72992,0.36213,1.21258,4.38866e-05,4.38866e-05,4.38866e-05
85,7049.12,0.48768,0.25238,0.96229,0.95626,0.93157,0.96273,0.79616,0.72412,0.35918,1.21031,3.96029e-05,3.96029e-05,3.96029e-05
86,7129.58,0.4851,0.25245,0.96328,0.95977,0.92967,0.96148,0.79749,0.72254,0.35767,1.21074,3.55572e-05,3.55572e-05,3.55572e-05
87,7210.58,0.47406,0.24755,0.95677,0.95928,0.92964,0.96369,0.79956,0.71744,0.3559,1.21013,3.17535e-05,3.17535e-05,3.17535e-05
88,7291.49,0.47276,0.24751,0.95575,0.95701,0.93111,0.96262,0.79839,0.71749,0.35632,1.21309,2.81956e-05,2.81956e-05,2.81956e-05
89,7371.93,0.47187,0.2474,0.95523,0.95817,0.93027,0.96315,0.80013,0.71342,0.35501,1.21283,2.48869e-05,2.48869e-05,2.48869e-05
